# DEMONSTRATION / SYNTHETIC DATA DECLARATION
# ---------------------------------------------------------------------------
# These six Zimbabwe capital projects are SYNTHETIC, illustrative records used
# ONLY to demonstrate the CapEx AI Agent. They are NOT real projects, NOT
# sourced from any client or operator, and carry no official approval,
# funding commitment or feasibility sign-off.
#
# All monetary values are in USD. Figures chosen to be plausible for the
# Zimbabwe environment; every number can be edited inside the app.
# ---------------------------------------------------------------------------
project_id,project_name,sector,project_type,currency,initial_investment,imported_equipment_pct,contingency_pct,salvage_value_pct,construction_months,project_life,annual_revenue,revenue_growth_pct,operating_costs,operating_cost_growth_pct,working_capital_pct,terminal_growth_pct,debt_ratio_pct,debt_interest_pct,equity_cost_pct,wacc_pct,reinvestment_rate_pct,tax_rate_pct,debt_tenor_years,complexity_score,design_completeness,procurement_delay_days,num_change_orders,contractor_type,funding_source,procurement_method,province,submitter_email,expected_completion,project_location,contractor_name,notes,remarks
ZIM-1001,Harare-Chitungwiza Road Corridor Rehabilitation,roads,infrastructure,USD,120000000,55,12,10,30,12,28000000,5,14000000,12,10,2,60,18,0,0,5,25,10,4,0.55,90,5,international,multilateral,open_competitive,Harare,demo.admin@example.com,2027-12-31,Harare-Chitungwiza corridor,Consolidated Civil + Bitumen JV,Demonstration data only - synthetic Zimbabwe road upgrade scenario,Not a real procurement
ZIM-1002,Gwanda 100MW Solar PV Park,energy,infrastructure,USD,145000000,75,8,5,18,25,42000000,4,9000000,6,8,2,70,15,0,0,6,25,9,3,0.72,45,2,international,private_developer,open_competitive,Matabeleland South,demo.admin@example.com,2028-06-30,Gwanda,SunHarvest Energy Ltd,Tracking + fixed structures mix; PPU export orientation,Demonstration data only
ZIM-1003,Great Dyke PGM Mining Expansion,mining,extractive,USD,260000000,65,15,15,36,15,95000000,3,52000000,11,12,2,55,20,0,0,6,25,12,5,0.45,120,8,international,private_enterprise,restricted,Midlands,demo.admin@example.com,2029-03-31,Great Dyke Complex,PGM Consolidated Operations,Expansion of concentrator + slurry lines on SYNTHETIC basis,Demonstration - not the actual operator
ZIM-1004,Bulawayo Agro-Processing Manufacturing Plant,manufacturing,industrial,USD,42000000,45,10,10,14,12,18000000,6,9800000,9,9,2,50,16,0,0,5,25,8,3,0.66,30,2,local_large,commercial_bank,open_competitive,Bulawayo,demo.admin@example.com,2027-09-30,Umguza Industrial Park,Bulawayo Agro Machinery (demo),Maize/soya processing line,Demonstration data only
ZIM-1005,Lake Mutirikwi Water Supply Infrastructure,water,infrastructure,USD,78000000,50,11,8,27,20,16500000,4,8500000,10,9,2,65,17,0,0,5,25,11,4,0.50,70,3,mixed,development_finance,open_competitive,Masvingo,demo.admin@example.com,2028-12-31,Lake Mutirikwi,Mutirikwi Civil Consortium,Bulk water treatment + reticulation (SYNTHETIC),Demonstration data only
ZIM-1006,Victoria Falls Airport Terminal Upgrade,aviation,infrastructure,USD,31000000,60,9,9,16,15,12500000,5,5700000,8,10,2,55,17,0,0,5,25,9,3,0.62,40,3,international,concessionaire,open_competitive,Matabeleland North,demo.admin@example.com,2027-12-31,Victoria Falls Airport,VA Aviation Terminal JV (demo),Terminal expansion + apron works,Demonstration data only
# GZU-HUB-001 is SYNTHETIC/DEMO DATA - illustrative GZU Innovation Hub at
# Mashava Campus scenario only; not an official Great Zimbabwe University
# project, proposal or commitment. Named after the real Mashava Campus of GZU
# purely to demonstrate a university-capital-project use case.
GZU-HUB-001,GZU Innovation Hub - Mashava Campus,education,infrastructure,USD,22000000,50,10,10,24,20,3200000,6,1700000,10,10,2,60,20,0,0,5,25,10,3.5,0.70,90,4,local_large,mixed,open_competitive,Masvingo,gzu.demo@example.com,2029-12-31,Mashava Campus - Great Zimbabwe University,GZU Construction Consortium (demo),SYNTHETIC/DEMO DATA - new-build GZU Innovation Hub at Mashava Campus: shell + teaching/innovation labs + co-working space + fabrication/3D-print lab + ICT backbone; revenue mix = co-working desks + lab/equipment hire + incubation fees + research & development licensing + events/venue hire; ~50% hard-currency imported equipment,Demonstration only - not a real GZU project or commitment
